subject,method,k,num_selected,selected_channels,selected_indices,accuracy_full,is_full
S002,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",0.6753748125937031,True
S002,Hybrid,10,10,"['C3', 'C2', 'Cp1', 'Fz', 'Ft8', 'T8', 'T9', 'P5', 'Po4', 'Po8']","[8, 11, 16, 33, 39, 41, 42, 47, 58, 59]",0.6753748125937031,True
S002,Hybrid,15,15,"['Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Fp1', 'Fz', 'Ft8', 'T7', 'T8', 'T9', 'P5', 'P4', 'Po4', 'Po8']","[5, 6, 8, 11, 16, 21, 33, 39, 40, 41, 42, 47, 52, 58, 59]",0.6753748125937031,True
S002,Hybrid,20,20,"['Fc3', 'Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Cp6', 'Fp1', 'Fp2', 'Afz', 'Fz', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'P5', 'P4', 'Po4', 'Po8']","[1, 5, 6, 8, 11, 16, 20, 21, 23, 26, 33, 38, 39, 40, 41, 42, 47, 52, 58, 59]",0.6753748125937031,True
S002,Hybrid,25,25,"['Fc3', 'Fc2', 'Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Cp6', 'Fp1', 'Fp2', 'Af3', 'Afz', 'F1', 'Fz', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'P5', 'Pz', 'P4', 'P8', 'Po4', 'Po8']","[1, 4, 5, 6, 8, 11, 16, 20, 21, 23, 25, 26, 32, 33, 38, 39, 40, 41, 42, 47, 50, 52, 54, 58, 59]",0.6753748125937031,True
S002,Hybrid,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",0.6753748125937031,True
S002,Centrality,10,10,"['C3', 'C2', 'Cp1', 'Fz', 'Ft8', 'T8', 'T9', 'P5', 'Po4', 'Po8']","[8, 11, 16, 33, 39, 41, 42, 47, 58, 59]",0.6753748125937031,True
S002,Centrality,15,15,"['Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Fp1', 'Fz', 'Ft8', 'T7', 'T8', 'T9', 'P5', 'P4', 'Po4', 'Po8']","[5, 6, 8, 11, 16, 21, 33, 39, 40, 41, 42, 47, 52, 58, 59]",0.6753748125937031,True
S002,Centrality,20,20,"['Fc3', 'Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Cp6', 'Fp1', 'Fp2', 'Afz', 'Fz', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'P5', 'P4', 'Po4', 'Po8']","[1, 5, 6, 8, 11, 16, 20, 21, 23, 26, 33, 38, 39, 40, 41, 42, 47, 52, 58, 59]",0.6753748125937031,True
S002,Centrality,25,25,"['Fc3', 'Fc2', 'Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Cp6', 'Fp1', 'Fp2', 'Af3', 'Afz', 'F1', 'Fz', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'P5', 'Pz', 'P4', 'P8', 'Po4', 'Po8']","[1, 4, 5, 6, 8, 11, 16, 20, 21, 23, 25, 26, 32, 33, 38, 39, 40, 41, 42, 47, 50, 52, 54, 58, 59]",0.6753748125937031,True
S002,Centrality,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",0.6753748125937031,True
S002,Diversity,10,10,"['Fc4', 'C3', 'C2', 'Cp1', 'Fp1', 'Ft8', 'T8', 'T9', 'P5', 'Po4']","[5, 8, 11, 16, 21, 39, 41, 42, 47, 58]",0.6753748125937031,True
S002,Diversity,15,15,"['Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Fp1', 'Fz', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'P5', 'Po4', 'Po8']","[5, 6, 8, 11, 16, 21, 33, 38, 39, 40, 41, 42, 47, 58, 59]",0.6753748125937031,True
S002,Diversity,20,20,"['Fc2', 'Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Cp6', 'Fp1', 'Fp2', 'Afz', 'Fz', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'P5', 'P4', 'Po4', 'Po8']","[4, 5, 6, 8, 11, 16, 20, 21, 23, 26, 33, 38, 39, 40, 41, 42, 47, 52, 58, 59]",0.6753748125937031,True
S002,Diversity,25,25,"['Fc3', 'Fc2', 'Fc4', 'Fc6', 'C3', 'C2', 'Cp1', 'Cp6', 'Fp1', 'Fp2', 'Afz', 'F5', 'Fz', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'P5', 'Pz', 'P4', 'P8', 'Po4', 'Po8']","[1, 4, 5, 6, 8, 11, 16, 20, 21, 23, 26, 30, 33, 38, 39, 40, 41, 42, 43, 47, 50, 52, 54, 58, 59]",0.6753748125937031,True
S002,Diversity,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",0.6753748125937031,True
